	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Dse	3.33E-06	0.490999607	0.593	0.433	0.006654624	12	Dse
Prdx53	3.84E-06	0.291347864	0.932	0.858	0.007689326	12	Prdx5
Cd209f	3.96E-06	1.134771102	0.424	0.063	0.007922608	12	Cd209f
Folr2	5.16E-06	0.834642496	0.593	0.426	0.01032368	12	Folr2
H1f01	5.63E-06	0.437490772	0.712	0.456	0.011254267	12	H1f0
Tmsb4x3	6.33E-06	0.269009521	1	0.996	0.012652407	12	Tmsb4x
Il18bp	6.71E-06	0.29921735	0.508	0.3	0.013410816	12	Il18bp
Ctla2b	8.90E-06	0.426637562	0.695	0.551	0.017794878	12	Ctla2b
Casp43	8.93E-06	0.329253103	0.78	0.624	0.017862419	12	Casp4
Pim32	9.74E-06	0.260961647	0.678	0.441	0.019479302	12	Pim3
Clec4a1	1.06E-05	0.517640747	0.559	0.327	0.021194686	12	Clec4a1
Ddx60	1.23E-05	0.299538407	0.542	0.378	0.024606019	12	Ddx60
Slfn23	1.24E-05	0.276616634	0.915	0.734	0.024729729	12	Slfn2
Rasgef1b3	1.36E-05	0.339773846	0.746	0.549	0.027251291	12	Rasgef1b
Ifi2092	1.38E-05	0.461694644	0.661	0.463	0.02765075	12	Ifi209
Cd86	1.44E-05	0.377405505	0.831	0.622	0.028781414	12	Cd86
Gpr1832	1.88E-05	0.333759195	0.746	0.503	0.037615699	12	Gpr183
Mbnl22	2.67E-05	0.504835115	0.831	0.672	0.053399067	12	Mbnl2
Mdfic	2.72E-05	0.508633936	0.542	0.306	0.05438027	12	Mdfic
Crybb15	3.05E-05	0.671234714	0.729	0.589	0.061097641	12	Crybb1
Lacc11	3.70E-05	0.301960862	0.712	0.523	0.073980403	12	Lacc1
Oasl11	3.74E-05	0.70538449	0.593	0.448	0.074727128	12	Oasl1
Lipa	4.43E-05	0.330739686	0.627	0.398	0.088583521	12	Lipa
Manf	7.26E-05	0.254424303	0.831	0.726	0.145125741	12	Manf
Hpgd3	7.83E-05	0.360294248	0.814	0.654	0.156596922	12	Hpgd
Ednrb	0.000118242	0.444322129	0.458	0.167	0.236484172	12	Ednrb
Neat11	0.000135968	0.276555637	0.695	0.491	0.271936361	12	Neat1
Rsrp13	0.000253611	0.398646585	0.898	0.814	0.50722282	12	Rsrp1
Ifit31	0.000391337	0.920430995	0.576	0.493	0.782673572	12	Ifit3
Plau3	0.000420879	0.36576786	0.61	0.369	0.841757829	12	Plau
Slfn1	0.000438049	0.283837996	0.407	0.087	0.87609856	12	Slfn1
Gm265321	0.000534653	0.253170682	0.593	0.442	1	12	Gm26532
Nfkbid3	0.000788152	0.279560887	0.831	0.667	1	12	Nfkbid
Zfp36l13	0.000844355	0.277432469	0.847	0.695	1	12	Zfp36l1
C3ar14	0.000995002	0.252462182	0.949	0.873	1	12	C3ar1
Itm2b6	0.001191831	0.266286036	1	0.98	1	12	Itm2b
Klf64	0.001910468	0.261788361	0.831	0.745	1	12	Klf6
App	0.001960146	0.485906989	0.61	0.521	1	12	App
Cd300ld3	0.001984677	0.293876657	0.458	0.3	1	12	Cd300ld3
Hspa1a1	0.002101774	0.35726077	0.678	0.553	1	12	Hspa1a
Runx13	0.002230397	0.389654004	0.729	0.631	1	12	Runx1
Mcm6	0.002243152	0.308194584	0.492	0.362	1	12	Mcm6
Apobec11	0.002838177	0.378004383	0.712	0.595	1	12	Apobec1
Hspd11	0.003333526	0.270735778	0.746	0.587	1	12	Hspd1
Usp181	0.003637826	0.653505222	0.525	0.417	1	12	Usp18
C1qa6	0.003685784	0.279908625	1	0.931	1	12	C1qa
Egfl7	0.004254712	0.4739573	0.475	0.296	1	12	Egfl7
Cited23	0.004861527	0.390013354	0.661	0.536	1	12	Cited2
Sdc31	0.004929223	0.287434545	0.542	0.381	1	12	Sdc3
Stard4	0.005754785	0.298773658	0.407	0.234	1	12	Stard4
4-Jun	0.006934099	0.268265234	0.881	0.831	1	12	Jun
Igtp	0.007786392	0.387573454	0.593	0.494	1	12	Igtp
Dynll2	0.007815169	0.274148096	0.678	0.57	1	12	Dynll2
P2rx42	0.008517936	0.450804211	0.661	0.605	1	12	P2rx4
Ecm1	0.008846012	0.442528959	0.508	0.373	1	12	Ecm1
Adcy1	6.17E-250	0.603782003	0.702	0.004	1.23E-246	13	Adcy1
Ccdc24	7.04E-225	0.59507748	0.684	0.003	1.41E-221	13	Ccdc24
Rnf207	9.90E-224	0.430530266	0.667	0.003	1.98E-220	13	Rnf207
Ppfia2	3.60E-220	0.70315243	0.684	0.004	7.19E-217	13	Ppfia2
Esrrb	3.23E-202	0.580167119	0.719	0.004	6.46E-199	13	Esrrb
Wdr66	3.42E-200	1.148744635	0.772	0.012	6.84E-197	13	Wdr66
Podxl	1.73E-164	0.330257724	0.632	0.006	3.46E-161	13	Podxl
Ramp3	6.09E-132	0.747806754	0.719	0.014	1.22E-128	13	Ramp3
Cplx4	3.16E-126	1.94737767	0.947	0.054	6.32E-123	13	Cplx4
Pla2g5	2.02E-112	0.837024031	0.737	0.02	4.03E-109	13	Pla2g5
Ankrd33	4.22E-105	2.095950256	0.895	0.023	8.43E-102	13	Ankrd33
Arpin	3.44E-93	0.50936322	0.719	0.043	6.89E-90	13	Arpin
Lmo1	4.39E-93	1.009982977	0.789	0.037	8.78E-90	13	Lmo1
Gm47543	1.97E-76	1.206420161	0.789	0.015	3.95E-73	13	Gm47543
Rs1	6.48E-68	1.964691133	0.895	0.136	1.30E-64	13	Rs1
Pde6a	2.24E-63	1.257918186	0.789	0.022	4.49E-60	13	Pde6a
Reep6	8.49E-61	1.666829736	0.825	0.034	1.70E-57	13	Reep6
Pcdh15	1.66E-59	0.954159902	0.719	0.012	3.33E-56	13	Pcdh15
Ckmt1	1.48E-58	1.725257379	0.754	0.012	2.96E-55	13	Ckmt1
Arhgef26	4.56E-58	0.946315986	0.772	0.104	9.12E-55	13	Arhgef26
Nrl	2.20E-57	3.465907074	0.982	0.143	4.41E-54	13	Nrl
Rgs9	5.35E-57	1.17163292	0.632	0.011	1.07E-53	13	Rgs9
Ubap1l	2.93E-54	1.508512981	0.825	0.125	5.87E-51	13	Ubap1l
A930003A15Rik	9.19E-53	2.261044392	0.912	0.117	1.84E-49	13	A930003A15Rik
Crx	2.03E-52	2.36782027	0.912	0.217	4.06E-49	13	Crx
Nxnl2	3.66E-52	2.607209893	0.947	0.07	7.31E-49	13	Nxnl2
Prom1	5.50E-51	2.096498502	0.86	0.18	1.10E-47	13	Prom1
Drd4	6.02E-51	2.333762401	0.895	0.121	1.20E-47	13	Drd4
Cnga1	3.34E-50	2.731612889	0.947	0.136	6.69E-47	13	Cnga1
Rp1	1.94E-49	2.722693297	0.965	0.164	3.87E-46	13	Rp1
Tmem1081	5.29E-49	1.174988952	0.772	0.1	1.06E-45	13	Tmem108
Cdhr1	4.60E-48	1.568411679	0.807	0.033	9.20E-45	13	Cdhr1
Fam57b	4.36E-47	2.861783927	0.982	0.27	8.73E-44	13	Fam57b
Lbhd1	5.58E-47	2.49141271	0.965	0.204	1.12E-43	13	Lbhd1
Mir124-2hg	1.72E-46	2.443692317	0.93	0.257	3.45E-43	13	Mir124-2hg
Wisp1	2.57E-45	0.352769451	0.649	0.1	5.13E-42	13	Wisp1
Dixdc1	5.27E-45	0.720840349	0.684	0.005	1.05E-41	13	Dixdc1
Otx2	1.10E-44	1.416452412	0.825	0.179	2.20E-41	13	Otx2
Prph2	1.97E-44	3.816807391	1	0.306	3.93E-41	13	Prph2
Kcnv2	2.09E-44	0.8181135	0.544	0.005	4.18E-41	13	Kcnv2
Cngb1	2.22E-44	2.565032978	0.947	0.201	4.44E-41	13	Cngb1
Fabp7	4.21E-44	1.152141301	0.702	0.128	8.43E-41	13	Fabp7
Nr2e3	9.59E-44	3.470558908	0.982	0.255	1.92E-40	13	Nr2e3
Tulp1	1.06E-43	2.962888026	1	0.368	2.12E-40	13	Tulp1
Rtbdn	1.07E-43	2.64094967	0.93	0.231	2.14E-40	13	Rtbdn
Neurod1	3.80E-43	2.625988041	0.912	0.28	7.61E-40	13	Neurod1
Prcd	4.49E-43	2.736427617	0.965	0.25	8.99E-40	13	Prcd
Gpsm2	5.00E-43	0.402434302	0.684	0.024	9.99E-40	13	Gpsm2
Unc119	5.59E-43	2.93704136	0.982	0.254	1.12E-39	13	Unc119
Pdc	6.16E-43	4.18336087	1	0.239	1.23E-39	13	Pdc
Nxnl1	1.42E-42	2.409356984	0.912	0.085	2.84E-39	13	Nxnl1
Gngt1	1.70E-42	4.54724924	1	0.248	3.41E-39	13	Gngt1
Pde6g	4.16E-42	4.546235901	1	0.277	8.31E-39	13	Pde6g
Rdh12	4.72E-42	2.033966015	0.912	0.124	9.43E-39	13	Rdh12
AC110166.1	4.94E-42	1.621687899	0.877	0.259	9.89E-39	13	AC110166.1
Rom1	5.15E-42	4.295136073	1	0.336	1.03E-38	13	Rom1
Snap25	6.01E-42	2.554785053	0.947	0.26	1.20E-38	13	Snap25
Map1b	3.50E-41	2.657072926	0.982	0.376	7.00E-38	13	Map1b
Pcbp4	4.96E-41	1.91118767	0.895	0.215	9.93E-38	13	Pcbp4
Aipl1	5.64E-41	2.687037327	0.93	0.191	1.13E-37	13	Aipl1
Cabp4	1.55E-40	1.310965666	0.737	0.018	3.11E-37	13	Cabp4
Sag	3.28E-40	4.548393806	0.982	0.324	6.57E-37	13	Sag
Rcvrn	3.46E-40	4.175739909	0.965	0.158	6.92E-37	13	Rcvrn
Plekhb1	9.89E-40	2.607526828	0.965	0.335	1.98E-36	13	Plekhb1
Gm48552	1.15E-39	0.968348116	0.596	0.003	2.31E-36	13	Gm48552
Pde6b	1.49E-39	2.032407523	0.86	0.039	2.97E-36	13	Pde6b
Cadm2	2.11E-39	1.79186696	0.842	0.156	4.23E-36	13	Cadm2
Fabp12	2.39E-39	1.367531545	0.772	0.012	4.78E-36	13	Fabp12
Platr17	9.04E-39	2.696334638	0.947	0.316	1.81E-35	13	Platr17
Ankrd33b	2.45E-38	1.475026175	0.842	0.195	4.90E-35	13	Ankrd33b
Hmgn2	1.36E-37	2.886588821	1	0.745	2.72E-34	13	Hmgn2
Gnb1	1.44E-37	3.263700472	0.982	0.403	2.88E-34	13	Gnb1
Cpe	1.90E-37	1.955563565	0.912	0.273	3.80E-34	13	Cpe
Rbp3	3.96E-37	1.818976285	0.825	0.196	7.92E-34	13	Rbp3
Hmgn1	6.61E-37	2.52208272	1	0.781	1.32E-33	13	Hmgn1
Guk1	8.01E-37	2.223247911	0.982	0.475	1.60E-33	13	Guk1
Syt1	1.12E-36	1.637994382	0.877	0.101	2.23E-33	13	Syt1
Gnb5	1.13E-36	1.784281586	0.947	0.342	2.25E-33	13	Gnb5
Plk5	4.41E-36	0.875052159	0.737	0.186	8.82E-33	13	Plk5
Tma7	8.15E-36	2.819681124	0.982	0.796	1.63E-32	13	Tma7
Wdr17	3.56E-35	0.900115621	0.702	0.073	7.12E-32	13	Wdr17
AI847159	7.37E-35	1.873985847	0.825	0.114	1.47E-31	13	AI847159
Slc1a2	7.95E-35	1.344637533	0.807	0.205	1.59E-31	13	Slc1a2
Amer2	2.60E-34	1.26770637	0.825	0.229	5.21E-31	13	Amer2
Agpat3	3.09E-34	2.069260008	0.947	0.325	6.18E-31	13	Agpat3
Rho	4.99E-34	4.659122603	0.93	0.232	9.97E-31	13	Rho
Klc3	5.38E-34	1.590077613	0.825	0.182	1.08E-30	13	Klc3
Ebpl	9.24E-34	2.335635865	0.947	0.465	1.85E-30	13	Ebpl
Rorb	2.40E-33	1.787874248	0.842	0.256	4.79E-30	13	Rorb
Car2	3.03E-33	1.455105403	0.895	0.255	6.06E-30	13	Car2
Mpp4	3.90E-33	1.243741578	0.667	0.014	7.79E-30	13	Mpp4
Cacna2d4	7.07E-33	0.90009382	0.737	0.186	1.41E-29	13	Cacna2d4
Zfp385b	1.55E-32	0.625324142	0.702	0.177	3.11E-29	13	Zfp385b
Rpgrip1	1.76E-32	2.064838168	0.895	0.286	3.53E-29	13	Rpgrip1
Mgarp1	4.52E-32	2.168932839	0.947	0.472	9.03E-29	13	Mgarp
Rd3l	6.39E-32	0.925623477	0.754	0.185	1.28E-28	13	Rd3l
Celf3	6.56E-32	0.395218425	0.684	0.168	1.31E-28	13	Celf3
Laptm4b	6.81E-32	2.0534286	0.93	0.454	1.36E-28	13	Laptm4b
Nedd4	1.15E-31	1.297601287	0.825	0.155	2.29E-28	13	Nedd4
Kcnb1	4.22E-31	1.1603959	0.772	0.144	8.44E-28	13	Kcnb1
Tubb3	4.78E-31	0.635579378	0.719	0.149	9.55E-28	13	Tubb3
Elovl4	1.68E-30	1.826703825	0.825	0.306	3.36E-27	13	Elovl4
C1qtnf4	1.71E-30	1.078485008	0.789	0.24	3.42E-27	13	C1qtnf4
Gnb3	2.10E-30	1.831569192	0.789	0.204	4.19E-27	13	Gnb3
Vtn	2.28E-30	1.829429922	0.772	0.104	4.55E-27	13	Vtn
Npdc1	4.09E-30	1.064272078	0.772	0.201	8.19E-27	13	Npdc1
Nrtn	1.28E-29	0.863473353	0.719	0.148	2.56E-26	13	Nrtn
Igsf21	1.34E-29	0.523299576	0.702	0.179	2.68E-26	13	Igsf21
Glo1	1.47E-29	2.038422986	0.912	0.408	2.93E-26	13	Glo1
Gm10282	2.26E-29	1.929777853	0.912	0.491	4.52E-26	13	Gm10282
Samd7	2.75E-29	1.263837335	0.526	0.003	5.50E-26	13	Samd7
Rab301	3.24E-29	0.437385201	0.684	0.059	6.48E-26	13	Rab30
Sebox	4.20E-29	0.255103083	0.667	0.179	8.39E-26	13	Sebox
Ppp2r2b	5.00E-29	1.543493968	0.737	0.084	1.00E-25	13	Ppp2r2b
Vax2	6.09E-29	0.539237406	0.684	0.172	1.22E-25	13	Vax2
Zfp536	6.89E-29	0.43023099	0.684	0.189	1.38E-25	13	Zfp536
Limch1	1.30E-28	0.267648555	0.667	0.177	2.60E-25	13	Limch1
Rab3a	2.52E-28	1.86017431	0.877	0.367	5.03E-25	13	Rab3a
Bex2	5.44E-28	1.134608518	0.789	0.217	1.09E-24	13	Bex2
Sncb	2.43E-27	1.297686707	0.825	0.31	4.86E-24	13	Sncb
Tnfsf12	2.88E-27	1.086675006	0.772	0.258	5.76E-24	13	Tnfsf12
Cplx3	3.65E-27	1.331444009	0.789	0.262	7.31E-24	13	Cplx3
Chga	8.50E-27	0.711626419	0.719	0.211	1.70E-23	13	Chga
Meis2	9.82E-27	0.766601846	0.754	0.271	1.96E-23	13	Meis2
Chgb	1.48E-26	1.177576998	0.737	0.242	2.96E-23	13	Chgb
Mest	2.64E-26	0.424121921	0.684	0.156	5.28E-23	13	Mest
Hsp90aa13	1.31E-25	1.284537438	0.982	0.865	2.62E-22	13	Hsp90aa1
Tspan7	3.38E-25	1.25627443	0.947	0.644	6.77E-22	13	Tspan7
Rd3	4.09E-25	1.842583215	0.772	0.093	8.19E-22	13	Rd3
Arl6	4.47E-25	1.648870646	0.807	0.302	8.95E-22	13	Arl6
Mageh1	4.48E-25	0.644141339	0.737	0.259	8.97E-22	13	Mageh1
Atp6v0e2	7.24E-25	1.812934733	0.825	0.3	1.45E-21	13	Atp6v0e2
Ndrg11	9.44E-25	1.568789397	0.825	0.387	1.89E-21	13	Ndrg1
Atp1a3	2.44E-24	1.546700925	0.842	0.392	4.87E-21	13	Atp1a3
Ckb2	2.93E-24	1.256377705	0.982	0.907	5.86E-21	13	Ckb
Podxl2	3.67E-24	1.15120326	0.772	0.275	7.34E-21	13	Podxl2
Gnat1	4.18E-24	3.579363501	0.825	0.27	8.35E-21	13	Gnat1
Pla2g71	2.06E-23	1.499111554	0.895	0.513	4.11E-20	13	Pla2g7
Mns1	3.33E-23	0.560084179	0.632	0.174	6.67E-20	13	Mns1
C1qtnf12	3.68E-23	1.200206056	0.737	0.232	7.36E-20	13	C1qtnf12
Rax	7.47E-23	0.896321718	0.561	0.03	1.49E-19	13	Rax
1110051M20Rik	8.77E-23	1.297934575	0.789	0.295	1.75E-19	13	1110051M20Rik
H2afv2	1.96E-22	1.241051018	0.947	0.629	3.92E-19	13	H2afv
Cdk2ap21	2.02E-22	1.59204664	0.895	0.585	4.03E-19	13	Cdk2ap2
Aldoc	3.20E-22	0.776755382	0.737	0.232	6.40E-19	13	Aldoc
Rcn1	3.38E-22	0.308499126	0.684	0.184	6.77E-19	13	Rcn1
Mir124a-1hg	4.09E-22	1.548997157	0.737	0.211	8.18E-19	13	Mir124a-1hg
Mlf1	4.79E-22	0.747582027	0.719	0.271	9.58E-19	13	Mlf1
Kpna2	5.05E-22	1.608781747	0.825	0.364	1.01E-18	13	Kpna2
E130218I03Rik	9.06E-22	1.405413087	0.807	0.309	1.81E-18	13	E130218I03Rik
Pcsk1n	1.40E-21	1.048601158	0.772	0.352	2.81E-18	13	Pcsk1n
Ldha3	1.78E-21	1.045132651	0.982	0.917	3.56E-18	13	Ldha
Cecr21	7.80E-21	0.703614087	0.702	0.242	1.56E-17	13	Cecr2
Pfn2	1.31E-20	0.989698216	0.754	0.304	2.61E-17	13	Pfn2
Fam161a	1.99E-20	1.332332049	0.719	0.196	3.98E-17	13	Fam161a
Stmn3	2.37E-20	0.309859263	0.684	0.254	4.75E-17	13	Stmn3
Gngt21	3.97E-20	0.317186393	0.123	0.754	7.95E-17	13	Gngt2
C2cd2l	4.68E-20	0.702176677	0.754	0.35	9.37E-17	13	C2cd2l
Ahi1	7.37E-20	0.897255476	0.754	0.369	1.47E-16	13	Ahi1
Cadm3	1.08E-19	0.408579653	0.649	0.214	2.16E-16	13	Cadm3
Clu	1.36E-19	0.350739236	0.684	0.227	2.71E-16	13	Clu
Mbnl23	1.82E-19	1.48464347	0.912	0.67	3.63E-16	13	Mbnl2
Scg5	2.93E-19	1.566292567	0.772	0.331	5.86E-16	13	Scg5
Atp1b2	3.46E-19	1.505813801	0.754	0.262	6.91E-16	13	Atp1b2
Vamp21	9.19E-19	1.393926209	0.842	0.479	1.84E-15	13	Vamp2
Guca1b	1.25E-18	2.042008886	0.772	0.369	2.49E-15	13	Guca1b
Negr1	1.50E-18	0.283095228	0.632	0.238	3.00E-15	13	Negr1
Rragd	7.65E-18	0.405037133	0.719	0.302	1.53E-14	13	Rragd
Mpped2	1.06E-17	1.422117302	0.684	0.158	2.12E-14	13	Mpped2
Rtn1	1.30E-17	0.426328078	0.719	0.314	2.61E-14	13	Rtn1
Cish	2.60E-17	0.39622795	0.702	0.327	5.20E-14	13	Cish
Samd11	2.75E-17	1.327121131	0.702	0.232	5.50E-14	13	Samd11
Bpgm	2.87E-17	0.64761773	0.737	0.364	5.74E-14	13	Bpgm
Swsap1	3.86E-17	0.359895836	0.667	0.313	7.72E-14	13	Swsap1
Nrep	9.08E-17	1.023459944	0.754	0.411	1.82E-13	13	Nrep
Dpysl3	9.44E-17	1.402234831	0.702	0.219	1.89E-13	13	Dpysl3
Gm48623	9.58E-17	0.314520947	0.614	0.127	1.92E-13	13	Gm48623
Otud7b	1.28E-16	0.789445807	0.737	0.328	2.56E-13	13	Otud7b
Hist1h2ac	1.38E-16	0.297397055	0.649	0.283	2.76E-13	13	Hist1h2ac
Fyco1	2.33E-16	1.595629894	0.754	0.318	4.65E-13	13	Fyco1
Fdft1	4.74E-16	0.514073063	0.737	0.333	9.48E-13	13	Fdft1
Gm45716	9.93E-16	1.536227025	0.754	0.312	1.99E-12	13	Gm45716
Rsrp14	1.05E-15	0.997921809	0.93	0.813	2.09E-12	13	Rsrp1
Slc24a1	1.78E-15	1.217942234	0.649	0.193	3.57E-12	13	Slc24a1
Nrxn3	2.41E-15	0.250655079	0.649	0.321	4.82E-12	13	Nrxn3
Cplx21	3.63E-15	0.442662122	0.649	0.205	7.26E-12	13	Cplx2
Thra	3.79E-15	0.383670129	0.702	0.31	7.58E-12	13	Thra
Hmgn3	4.24E-15	0.258719972	0.667	0.277	8.48E-12	13	Hmgn3
Pbx1	5.90E-15	0.568194113	0.684	0.333	1.18E-11	13	Pbx1
Rp1l1	7.78E-15	0.845132466	0.474	0.006	1.56E-11	13	Rp1l1
Aldoa3	8.19E-15	0.827172294	0.982	0.957	1.64E-11	13	Aldoa
Impg2	1.00E-14	0.676804136	0.561	0.023	2.00E-11	13	Impg2
Lrrc2	1.63E-14	0.569295087	0.579	0.141	3.27E-11	13	Lrrc2
Mreg2	2.49E-14	0.420462881	0.702	0.298	4.98E-11	13	Mreg
Prickle1	5.65E-14	0.292974773	0.649	0.351	1.13E-10	13	Prickle1
Bex1	5.71E-14	0.264197767	0.14	0.341	1.14E-10	13	Bex1
Dmd	1.04E-13	1.13097123	0.596	0.107	2.08E-10	13	Dmd
Tsc22d1	1.68E-13	0.674445265	0.702	0.338	3.35E-10	13	Tsc22d1
Eno13	1.77E-13	0.446501596	1	0.948	3.54E-10	13	Eno1
Ddit42	4.14E-13	0.534422956	0.789	0.467	8.27E-10	13	Ddit4
Cerkl	4.18E-13	0.645153903	0.439	0.004	8.35E-10	13	Cerkl
Dbp	5.68E-13	0.519398308	0.719	0.352	1.14E-09	13	Dbp
Pkm3	2.64E-12	0.421354424	0.965	0.884	5.29E-09	13	Pkm
Prkca	2.70E-12	0.567861423	0.719	0.355	5.39E-09	13	Prkca
Hspa1b1	3.36E-12	0.601568464	0.772	0.446	6.72E-09	13	Hspa1b
Gsr	3.86E-12	0.290802025	0.702	0.408	7.71E-09	13	Gsr
Uchl3	4.80E-12	0.457933238	0.807	0.389	9.60E-09	13	Uchl3
Got12	5.67E-12	0.992333842	0.86	0.503	1.13E-08	13	Got1
Kif21a	9.21E-12	1.128299545	0.614	0.195	1.84E-08	13	Kif21a
Ncam1	3.24E-11	1.282774557	0.684	0.281	6.47E-08	13	Ncam1
Cep290	4.99E-11	1.082335899	0.649	0.286	9.99E-08	13	Cep290
Chchd102	7.11E-11	0.977426277	0.737	0.403	1.42E-07	13	Chchd10
Epb41	9.41E-11	1.254098383	0.684	0.395	1.88E-07	13	Epb41
Ahr1	1.13E-10	0.491528388	0.649	0.309	2.27E-07	13	Ahr
Hsbp1l1	1.18E-10	1.281595792	0.614	0.19	2.37E-07	13	Hsbp1l1
Prnp	2.52E-10	1.326950498	0.684	0.349	5.03E-07	13	Prnp
Wasf3	1.25E-09	0.414731845	0.175	0.298	2.50E-06	13	Wasf3
Slc48a1	2.49E-09	0.410689516	0.807	0.513	4.99E-06	13	Slc48a1
Klhdc8b	5.13E-09	1.269111609	0.684	0.444	1.03E-05	13	Klhdc8b
Slc25a251	7.56E-09	0.465796224	0.737	0.463	1.51E-05	13	Slc25a25
Hist1h1e	1.01E-08	0.263838247	0.684	0.452	2.02E-05	13	Hist1h1e
Ppm1n	1.21E-08	1.093834827	0.544	0.126	2.43E-05	13	Ppm1n
Agpat52	1.44E-08	0.698378314	0.737	0.478	2.88E-05	13	Agpat5
Vopp1	1.47E-08	0.926365929	0.649	0.403	2.93E-05	13	Vopp1
Stx3	2.60E-08	1.215528775	0.649	0.356	5.19E-05	13	Stx3
Pgam13	4.97E-08	0.287020676	0.912	0.821	9.94E-05	13	Pgam1
Gstp1	5.16E-08	0.908833188	0.737	0.595	0.000103185	13	Gstp1
Malat11	7.06E-08	0.803414274	0.947	0.848	0.000141231	13	Malat1
Slc17a7	7.47E-08	0.924075098	0.561	0.172	0.000149443	13	Slc17a7
Pcp4l1	8.19E-08	0.263898923	0.193	0.256	0.000163761	13	Pcp4l1
Hsph11	1.26E-07	0.262228755	0.667	0.388	0.000251179	13	Hsph1
Guca1a1	1.61E-07	0.420648788	0.211	0.471	0.000321191	13	Guca1a
Cited24	6.75E-07	0.484018725	0.789	0.532	0.001350769	13	Cited2
Ift20	7.14E-07	0.559083844	0.772	0.523	0.001428083	13	Ift20
Egflam	8.61E-07	0.470526386	0.263	0.039	0.00172209	13	Egflam
Mapre21	9.66E-07	0.525990544	0.772	0.555	0.001931565	13	Mapre2
Trafd11	1.71E-06	0.658318125	0.754	0.514	0.003410037	13	Trafd1
Dctn31	1.81E-06	0.620863378	0.842	0.671	0.003620038	13	Dctn3
Iqcg	2.30E-06	0.275089298	0.228	0.379	0.004605939	13	Iqcg
Fam229b	2.55E-06	0.482903839	0.246	0.274	0.00510416	13	Fam229b
Ttyh1	7.29E-06	1.156807557	0.561	0.296	0.01458147	13	Ttyh1
Spint2	1.43E-05	0.941482315	0.544	0.18	0.028581219	13	Spint2
Prkcz	4.14E-05	0.508861339	0.263	0.098	0.082733589	13	Prkcz
Msi1	4.42E-05	0.956414878	0.491	0.065	0.088352665	13	Msi1
Hspe13	4.63E-05	0.821852362	0.895	0.832	0.092654236	13	Hspe1
Hist1h2bc2	5.13E-05	0.545619619	0.807	0.538	0.102535374	13	Hist1h2bc
BC027072	5.87E-05	0.50550573	0.298	0	0.117314945	13	BC027072
Pgp2	6.09E-05	0.374272244	0.754	0.607	0.121841248	13	Pgp
Rora1	6.93E-05	0.841664976	0.579	0.405	0.138582319	13	Rora
Grk1	0.000111092	1.045341025	0.491	0.014	0.222183429	13	Grk1
Syp	0.000116459	0.826999531	0.561	0.313	0.232918053	13	Syp
Frmpd2	0.000118178	0.367084951	0.281	0.179	0.236355476	13	Frmpd2
Clstn1	0.000118528	1.068574914	0.596	0.428	0.237055022	13	Clstn1
Lhfpl3	0.000133003	0.473991742	0.263	0.297	0.26600675	13	Lhfpl3
Ankrd122	0.000195104	0.39170311	0.667	0.472	0.390208773	13	Ankrd12
Plpp2	0.000205288	0.781092956	0.579	0.368	0.410575848	13	Plpp2
1190005I06Rik	0.000264508	1.059639926	0.544	0.241	0.529016876	13	1190005I06Rik
Klf9	0.000357498	0.951424715	0.509	0.218	0.714995708	13	Klf9
Dynll21	0.000382309	0.429606185	0.737	0.569	0.764618729	13	Dynll2
Cers4	0.000492722	0.828325267	0.491	0.145	0.985444162	13	Cers4
Terf2ip1	0.000600295	0.279129457	0.281	0.41	1	13	Terf2ip
Impdh12	0.000785179	0.824120633	0.579	0.41	1	13	Impdh1
Nfic2	0.000938791	0.453944773	0.754	0.612	1	13	Nfic
Lgalsl	0.00130408	0.992653378	0.509	0.281	1	13	Lgalsl
Ccdc126	0.001326097	1.130798397	0.544	0.39	1	13	Ccdc126
Hmgb31	0.001594926	0.338849081	0.263	0.254	1	13	Hmgb3
Lactbl1	0.001890171	0.537928301	0.281	0.179	1	13	Lactbl1
Osbp2	0.001980964	0.838350755	0.456	0.095	1	13	Osbp2
Pcbp3	0.003684325	0.858661783	0.491	0.227	1	13	Pcbp3
Shisa4	0.004282353	0.395854642	0.298	0.333	1	13	Shisa4
Unc13b	0.005014227	0.522598864	0.316	0.344	1	13	Unc13b
Psip1	0.005826209	0.854350336	0.509	0.349	1	13	Psip1
Cdkn1c	0.005850151	0.282311049	0.298	0.341	1	13	Cdkn1c
Ntm	0.006819431	0.678017538	0.491	0.253	1	13	Ntm
Fscn2	0.006852178	0.835590162	0.474	0.184	1	13	Fscn2
Polr2g2	0.007429675	0.303191203	0.772	0.58	1	13	Polr2g
Abca4	0.007707979	0.83793642	0.456	0.151	1	13	Abca4
Rasl11a	0.008785283	0.497239607	0.316	0.405	1	13	Rasl11a
Tlr8	2.47E-85	0.403218265	0.782	0.038	4.94E-82	14	Tlr8
Ifi44	1.54E-43	0.31755373	0.782	0.047	3.08E-40	14	Ifi44
Ms4a4a1	1.93E-39	1.670073559	1	0.314	3.86E-36	14	Ms4a4a
Stap11	2.73E-39	0.842894882	0.891	0.103	5.46E-36	14	Stap1
Ms4a71	4.39E-39	2.369761338	0.982	0.213	8.77E-36	14	Ms4a7
Cybb1	3.04E-35	1.534419292	1	0.375	6.08E-32	14	Cybb
Adam19	7.28E-34	0.395610847	0.8	0.161	1.46E-30	14	Adam19
